facility_id,facility_name,city,state,zip_code
65583707-3e0a-35e3-8c0a-37df9efe0b23,PCP10332,PLYMPTON,MA,02367-1718
6e481039-a431-3c79-b4d7-aa18ee8c50d0,PCP10700,AMHERST,MA,01002-1738
b74c6b49-6c41-3c34-829a-33c4739872be,PCP10713,ATTLEBORO,MA,02703-5954
5e6f8a00-6072-30cd-988a-a615e9cc3b2f,PCP10780,SOMERSET,MA,02725-1816
438e9d44-1f8f-3c7f-807c-754e714c4e29,PCP11164,CHELSEA,MA,02150-3679
2cacbb8e-b655-3f0c-b6a4-685f666e4544,PCP11360,MASHPEE,MA,02649-2611
7de1976a-eff4-3ca6-ac09-274462ae76ef,PCP11412,WINCHESTER,MA,01890-1913
6bc15379-df43-3eb0-9248-13481a3bf028,PCP11571,BROOKLINE,MA,02445-6871
dcd2bf99-6b14-3f3e-bcef-5bf1bb1d3a45,PCP11621,QUINCY,MA,02169-4514
043c2193-7fbd-3a5c-ad68-275230f1f3d4,PCP11873,DOVER,MA,02030-2374
daa4c408-5fc5-32a8-881e-12181e8b8598,PCP12132,SHERBORN,MA,01770-1302
908921eb-7b1d-3425-86ed-5919a9c01b6a,NANCY A BALIN MD F A C S,FLORENCE,MA,01062-2053
e9b210da-b06c-3bda-afe0-ea8f291211dd,TANZMAN MASELLI AND ASSOCIATES PC,ADAMS,MA,01220-1750
fea71139-3a82-323c-82a9-1e573fc1ec2c,PCP12341,QUINCY,MA,02169-4511
b6290f94-443f-35d0-8cff-3faae1f9f288,PCP12989,ANDOVER,MA,01810-3600
bc82cb1f-42c3-3a6b-b10c-817591baa673,PCP13076,ARLINGTON,MA,02474-8406
e4cf9ee8-af0f-38d3-9422-2110c6f54867,PCP13645,CAMBRIDGE,MA,02140-1020
fa120db4-e034-3fa3-a831-d343d5445bb8,PCP13750,SAUGUS,MA,01906-2342
bb13540a-76b8-364d-8d56-25108796456f,PCP13766,BURLINGTON,MA,01803-4530
63b12098-a29c-357d-b1c0-4dcc2f0b6d6c,PCP14226,SHREWSBURY,MA,01545-5265
1e4eec39-df1e-3c10-8132-6c74bbcaf05b,PCP14240,DUXBURY,MA,02332-3877
59a3a46d-e206-3052-8c82-cbafc00cf1ba,PCP14572,SHREWSBURY,MA,01545-6405
588e03bd-91bc-3442-be9e-66c18ba36c0c,KHOURY CHIROPRACTC  INC.,BELLINGHAM,MA,02019-1678
b1b59ef1-fcf4-34f8-8fd2-4d51b1586d85,PCP14706,NORTH DARTMOUTH,MA,02747-1262
eeebd573-1670-38c2-816b-6914b9de5138,PCP15026,SALEM,MA,01970-3150
6f8827d8-b5d0-3ab2-b04c-7363d98d6f90,PCP15097,LEXINGTON,MA,02420-4641
ffab0f83-3cf7-39c9-9500-e1e2345cf6bb,PCP15181,FITCHBURG,MA,01420-5214
92fba4ac-ef81-3a44-9921-64c063301834,PCP15182,EAST DENNIS,MA,02641-0356
1c15a03e-5347-380f-a3dc-5496ba99ed2b,PCP15351,AMHERST,MA,01002-2933
e1a712c3-d6c3-3432-ab2f-dab2fc5649f8,PCP15485,MILFORD,MA,01757-1743
ff917dd4-ffbb-3f4c-b2df-445a7e9d29aa,PCP15541,NORTON,MA,02766-2569
728e75a0-2274-303e-97dc-1af51ebd30b5,PCP15792,AMHERST,MA,01002-2353
1d376956-d8da-3a4b-ac7c-18fe4e799e3d,PCP15810,BROOKLINE,MA,02446-3202
34a0de28-79fc-3fee-bbbe-7c12a9e84258,PCP16089,WESTPORT,MA,02790-4100
e7908588-196c-3534-853a-18910e276286,PCP16203,ACTON,MA,01720-3415
2b1ab576-50a4-3d9f-ba1f-a8cdcfa186fc,PCP16374,NEWBURYPORT,MA,01950-2650
ca84301a-d567-3b35-86c7-5d75f341e562,PCP16686,PITTSFIELD,MA,01201-6312
46f60519-8023-365f-a266-cc8e018caedc,PCP16959,HAVERHILL,MA,01830-5855
99a0f468-b273-32f3-bda1-c9b2eb560e59,PCP17095,NEEDHAM,MA,02492-2565
5d965dd7-5355-371d-9b13-2a0321e3e4aa,PCP17236,CONCORD,MA,01742-3049
09207265-689c-3412-84b2-fcecbaf68b7f,PCP17279,MARBLEHEAD,MA,01945-2329
bee3973f-125a-3713-807e-8e9c0f9e304e,PCP17791,MILLBURY,MA,01527-2601
707bfbf6-85d4-375f-b12a-43ff210ec187,PCP18175,MONTAGUE,MA,01351-8925
3e54a0c1-21ed-34ea-9696-e64a09626bcc,PCP18347,CARLISLE,MA,01741-1840
c47a2ac5-f2f2-3f8c-aee8-336ed150f77b,PCP18545,NEWTON,MA,02459-2831
1f8bf1bc-2c07-3ea6-9782-0a8eb036ba4f,PCP19450,LYNNFIELD,MA,01940-2344
86f868e9-3325-3019-98d9-34ca2dc11f20,TANZMAN MASELLI AND ASSOCIATES PC,N ADAMS,MA,01247-4522
cc648e4d-ae3a-3933-930e-f1f34189eb97,PCP19816,WESTWOOD,MA,02090-1801
1f2b3666-5e34-3e83-8a47-076f8f9c161e,PCP20187,SOMERVILLE,MA,02144-1703
4cd7de25-382b-30f8-94d5-e353e3eca86a,PCP20489,DOVER,MA,02030-2451
291a7431-7eca-35f8-b086-464e4b7ae919,PCP20953,NEWTON,MA,02459-3300
036f1255-5cd0-357e-a68d-80470fb3c7dd,PCP20982,BROOKLINE,MA,02446-5532
789d10ff-bb15-37ed-b02a-61eafb978686,PCP21112,QUINCY,MA,02169-7564
d6c83c6a-f78f-3e23-a2f4-444f9519d576,HOLLISTON VISION CENTER INC,HOLLISTON,MA,01746-1690
09f69020-aa1e-3bd8-b1f1-9b4534273281,PCP21378,DEDHAM,MA,02026-6817
b3e30964-03f2-3136-8347-255d16f65d93,PCP21436,YARMOUTH PORT,MA,02675-1819
f1d9c9ec-5a62-335f-a680-abce7c7d1d83,PCP21720,PLYMOUTH,MA,02360-2664
572011b1-4787-3e18-a961-1b233d229036,PCP21995,PEABODY,MA,01945
d8b927a2-8e71-3b43-98ae-8ed2c7c724c9,PCP22470,BILLERICA,MA,01821-3757
f18084da-cd20-347a-93a9-f62f748ba19a,PCP22490,MEDFIELD,MA,02052-2317
c622cfbd-4815-3719-800f-81587c87161c,PCP22546,ARLINGTON,MA,02476-4712
b5224693-0819-3f63-9e94-ab96794d5ccc,PCP23079,SAGAMORE BEACH,MA,02562
